Account_Name,Oracle Number,Record_Type,Account EE,Max MAU,12 Month Revenue,Account Segment,Customer Category,InsiderStatus,DIVISION,DnB_Market,DnB_Industry,First_Account_Contract,Account_Number
1ST SOURCE CORPORATION,6190412,US/Canada,"1,282","1,294","$432,616",Mid-market,Existing,Yes  Active,S&D - FIN,DEPOSITORY,"State trust companies accepting deposits, commercial",04/01/10,AC-00406957
A.M CASTLE & CO,6102578,US/Canada,"1,600","1,198","$416,979",Enterprise,Existing,,TRANS-DIST,WHLSALE-DURABLE,Metals service centers and offices,08/27/13,AC-00460212
ABC Technologies Inc.,6190601,US/Canada,"2,000","1,408","$992,403",Enterprise,Existing,No,MFG,RUBBER-PLASTICS,"Automotive parts, plastic",10/01/19,AC-00539576
ABILITY BEYOND DISABILITY  INC.,6196675,US/Canada,"1,154","1,356","$315,748",Mid-market,Existing,,GOVT-EDUC,SOCIAL SERVICES,Rehabilitation services,04/06/11,AC-00536758
"Acadia Management Company, LLC",6132579,US/Canada,"24,651","34,458","$2,869,044",Upper Enterprise,Existing,Yes  Active,HEALTHCARE,SPECIALTY,"Specialty outpatient clinics, nec",07/19/11,AC-00592788
"ACE PARKING MANAGEMENT, INC",6097072,US/Canada,"4,033","4,563","$1,044,714",Enterprise,Existing,No,S&D,AUTO GARAGES,Parking lots,06/03/09,AC-00378170
"ACRT, INC.",6127242,US/Canada,"1,476",9,"$25,834",Mid-market,Existing,No,S&D,ENG-MGMT SVCS,Environmental consultant,10/18/08,AC-00525373
ACUREN INSPECTION  INC.,6196884,US/Canada,"24,000","4,972","$1,369,042",Upper Enterprise,Existing,No,MFG,OIL-GAS EXTRACT,"Testing, measuring, surveying, and analysis services",07/02/18,AC-00585905
AFL TELECOMMUNICATIONS LLC,6180907,US/Canada,"2,942","2,982","$1,860,992",Enterprise,Existing,,MFG,SPECIAL TRADE,Fiber optic cable installation,10/01/15,AC-00541704
AGA SERVICE COMPANY,6193265,US/Canada,818,800,"$318,551",Mid-market,Existing,,S&D - FIN,HLDG-INVESTMENT,"Investment holding companies, except banks",05/13/15,AC-05747210
"AHF, LLC",6197232,US/Canada,"2,317","2,101","$1,104,088",Enterprise,Existing,,MFG,LUMBER-WOOD,"Flooring, hardwood",02/27/19,AC-03303844
AHMC HEALTHCARE,6196906,US/Canada,"6,200","2,484","$1,272,782",Upper Enterprise,Existing,,HEALTHCARE,HOSPITALS,General medical and surgical hospitals,11/10/17,AC-00591438
Ahrc New York City,6174411,US/Canada,"4,300",979,"$1,227,339",Upper Enterprise,Existing,,HEALTHCARE,HEALTH SERVICES,Blood related health services,12/21/17,AC-00603498
"AIMBRIDGE PARENT, INC.",6180332,US/Canada,"47,847","34,937","$3,786,537",Upper Enterprise,Existing,Yes  Active,S&D - FIN,INSUR-BROKERS,Pension and retirement plan consultants,03/25/15,AC-03532214
"AJINOMOTO FOODS NORTH AMERICA, INC.",6037324,US/Canada,"3,217","2,771","$1,423,239",Enterprise,Existing,No,MFG,FOOD-KINDRED,"Frozen specialties, nec",01/17/95,AC-00401607
AKEBONO BRAKE CORPORATION,6187126,US/Canada,"1,152",883,"$345,205",Enterprise,Existing,,MFG,AUTOMOTIVE,"Air brakes, motor vehicle",07/23/14,AC-00582855
ALAMOS GOLD INC,6197459,US/Canada,"3,000","1,947","$903,057",Enterprise,Existing,,MFG,METAL MINING,Open pit gold mining,01/02/19,AC-05564385
ALLEGIANT TRAVEL COMPANY,6182818,US/Canada,"6,616","5,301","$1,053,294",Upper Enterprise,Existing,No,S&D,TRANS SERVICES,Travel agencies,07/02/10,AC-00637526
"ALPHA METALLURGICAL SERVICES, LLC",6181060,US/Canada,"4,248","2,925","$623,449",Upper Enterprise,Existing,No,MFG,COAL MINING,Coal mining services,08/19/16,AC-00899331
"Alpha Natural Resources, Inc.",6196426,US/Canada,"5,400",5,$0,Upper Enterprise,Existing,,MFG,COAL MINING,Bituminous coal and lignite-surface mining,05/11/16,AC-00475690
Alsco Inc.,6073397,US/Canada,"14,200","8,597","$1,861,427",Upper Enterprise,Existing,No,S&D,PERSONAL SVCS,Uniform supply,08/27/13,AC-00613140
AMERICAN CHEMICAL SOCIETY,6186152,US/Canada,"1,931","2,877","$934,113",Upper Mid-market,Existing,No,S&D,BUSINESS SVCS,Display advertising service,10/31/17,AC-00518136
AMERICAN COMMERCIAL BARGE LINE LLC,6180718,US/Canada,"2,024","3,930","$808,325",Enterprise,Existing,,TRANS-DIST,WATER TRANS,Canal barge operations,12/31/18,AC-00465444
AMERICAN PSYCHOLOGICAL ASSOCIATION  INC.,6182911,US/Canada,600,593,"$296,902",Mid-market,Existing,No,S&D,MEMBERSHIP ORGS,Scientific membership association,02/10/15,AC-00444924
AMERICAN RENAL ASSOCIATES LLC,6196953,US/Canada,"4,500","4,121","$1,410,826",Enterprise,Existing,Yes  Active,HEALTHCARE,SPECIALTY,Kidney dialysis centers,12/13/19,AC-00604941
AMERICAN RESIDENTIAL SERVICES LLC,6182120,US/Canada,"13,500","8,129","$2,323,018",Enterprise,Existing,No,MFG,SPECIAL TRADE,Plumbing contractors,04/28/16,AC-00574167
AMSTED INDUSTRIES INCORPORATED,6185644,US/Canada,"10,100","5,776","$1,894,609",Upper Enterprise,Existing,Yes  Active,MFG,FABRCTD METALS,"Cooling towers, Metal plate",04/05/11,AC-00510801
"ANSCHUTZ ENTERTAINMENT GROUP, INC.",6195784,US/Canada,"5,432","2,654","$1,207,551",Upper Enterprise,Existing,,HOSPITALITY,AMUSEMENT-REC,Stadium event operator services,11/17/14,AC-05747722
ARCHDIOCESE OF WASHINGTON,6209081,US/Canada,"4,113","2,779","$995,464",Enterprise,Existing,,S&D,MEMBERSHIP ORGS,Catholic Church,09/01/11,AC-05747723
ARROW ELECTRONICS  INC.,6196388,US/Canada,"12,000","3,998","$935,572",Upper Enterprise,Existing,,TRANS-DIST,WHLSALE-DURABLE,"Electronic parts and equipment, nec",02/23/18,AC-00469337
ASBURY AUTOMOTIVE GROUP INC.,6186640,US/Canada,"9,235",842,"($266,225)",Upper Enterprise,Existing,,RETAIL,AUTO DEALR-SVC,"Automobiles, new and used",09/26/08,AC-00519521
"Asbury Automotive Group, Inc.",6195255,US/Canada,"8,000",195,"($130,566)",Upper Enterprise,Existing,,RETAIL,AUTO DEALR-SVC,"Automobiles, new and used",12/30/21,AC-05237512
ASPIRE LIVING & LEARNING INC.,6196243,US/Canada,"1,056",980,"$456,027",Mid-market,Existing,,GOVT-EDUC,SOCIAL SERVICES,Social service center,10/10/07,AC-00428535
Associated Catholic Charities Inc.,6186268,US/Canada,"1,798","1,659","$365,531",Enterprise,Existing,Yes  Active,GOVT-EDUC,SOCIAL SERVICES,Social service center,10/10/07,AC-00495615
"Audacy Operations, LLC",6197045,US/Canada,"5,000","3,998","$662,723",Enterprise,Existing,,S&D,COMMUNICATION,Radio broadcasting stations,10/10/07,AC-00631293
AUGUSTA HEALTH CARE  INC.,6196463,US/Canada,"2,722","3,043","$801,722",Enterprise,Existing,,HEALTHCARE,HOSPITALS,General medical and surgical hospitals,12/28/11,AC-00485769
"AVALON HEALTH CARE MANAGEMENT, INC",6122319,US/Canada,"7,000",,"$3,137",Upper Enterprise,Existing,No,HEALTHCARE,LONG TERM CARE,Skilled nursing care facilities,12/30/11,AC-00790572
AVISTA CORPORATION,6186999,US/Canada,"3,800","2,177","$615,966",Enterprise,Existing,No,MFG,ELEC-GAS-SANI,"Distribution, electric power",10/10/07,AC-00487959
AZGA SERVICE CANADA INC.,6197533,US/Canada,"1,240",635,"$185,242",Mid-market,Existing,,S&D - FIN,INSUR-BROKERS,"Insurance agents, brokers, and service",07/01/15,AC-05957646
"BAKER, DONELSON, BEARMAN, CALDWELL & BERKOWITZ, P.C.",6186612,US/Canada,"1,302","1,168","$348,155",Mid-market,Existing,,S&D,LEGAL SERVICES,"General practice attorney, lawyer",05/06/08,AC-00644419
BALLY'S CORPORATION,6182781,US/Canada,"8,468","15,877","$2,619,822",Upper Enterprise,Existing,No,HOSPITALITY,LODGING,Casino hotel,08/27/20,AC-00466350
BATH FITTER DISTRIBUTING INC.,6186466,US/Canada,"2,000",900,"$190,028",Upper Mid-market,Existing,,RETAIL,BUILDING-GARDEN,"Bathroom fixtures, equipment and supplies",12/30/17,AC-00554738
Bausch & Lomb Americas Inc.,6197838,US/Canada,"9,172","4,526","$2,098,849",Enterprise,Existing,No,MFG,CHEMICAL-ALLIED,Pharmaceutical preparations,04/09/21,AC-00545840
"Bausch Health US, LLC",6197126,US/Canada,"1,831","1,746","$691,990",Enterprise,Existing,,MFG,INSTR RLTD PDTS,Ophthalmic goods,02/01/19,AC-00649347
